Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
finetune,0,0,0,0.645862,0.375676,0.918256,0.647619
finetune,1,1,64,0.645862,0.375676,0.918256,0.647619,0,0
finetune,1,6,384,0.645862,0.375676,0.918256,0.647619,0,0
finetune,1,11,704,0.645862,0.375676,0.918256,0.647619,0,0
finetune,1,16,1024,0.698779,0.478378,0.920981,0.696296,425,426
finetune,1,21,1344,0.754410,0.856757,0.651226,0.743915,10002,11625
finetune,1,26,1664,0.729986,0.835135,0.623978,0.719577,17105,20002
finetune,1,31,1984,0.736771,0.837838,0.634877,0.716402,22895,26448
finetune,1,36,2304,0.757123,0.840541,0.673025,0.757672,27562,31160
finetune,1,41,2624,0.772049,0.843243,0.700272,0.772487,32149,35327
finetune,1,47,2953,0.788331,0.832432,0.743869,0.786243,38322,40331
finetune,2,1,3017,0.785617,0.829730,0.741144,0.792593,1056,969
finetune,2,6,3337,0.801900,0.759459,0.844687,0.796825,6658,6447
finetune,2,11,3657,0.801900,0.756757,0.847411,0.804233,11666,11816
finetune,2,16,3977,0.793758,0.827027,0.760218,0.805291,16783,16755
finetune,2,21,4297,0.782904,0.889189,0.675749,0.787302,21361,21578
finetune,2,26,4617,0.789688,0.883784,0.694823,0.801058,25431,25687
finetune,2,31,4937,0.797829,0.794595,0.801090,0.803175,29926,29989
finetune,2,36,5257,0.808684,0.794595,0.822888,0.803175,33646,33800
finetune,2,41,5577,0.799186,0.805405,0.792916,0.801058,36954,36808
finetune,2,47,5906,0.803256,0.813514,0.792916,0.802116,40814,40300
finetune,3,1,5970,0.803256,0.813514,0.792916,0.804233,752,679
finetune,3,6,6290,0.801900,0.816216,0.787466,0.807407,3974,4069
finetune,3,11,6610,0.801900,0.829730,0.773842,0.805291,6891,6951
finetune,3,16,6930,0.799186,0.813514,0.784741,0.806349,9562,9426
finetune,3,21,7250,0.803256,0.797297,0.809264,0.808466,12551,11812
finetune,3,26,7570,0.812754,0.781081,0.844687,0.814815,15774,14153
finetune,3,31,7890,0.807327,0.786486,0.828338,0.816931,18460,16238
finetune,3,36,8210,0.801900,0.824324,0.779292,0.810582,20890,18375
finetune,3,41,8530,0.792402,0.856757,0.727520,0.803175,23470,20680
finetune,3,47,8859,0.784261,0.851351,0.716621,0.797884,26069,23362
finetune,4,1,8923,0.788331,0.851351,0.724796,0.804233,474,568
finetune,4,6,9243,0.804613,0.800000,0.809264,0.813757,3163,3427
finetune,4,11,9563,0.797829,0.754054,0.841962,0.814815,5723,6134
finetune,4,16,9883,0.799186,0.743243,0.855586,0.814815,8093,8329
finetune,4,21,10203,0.801900,0.745946,0.858311,0.819048,10640,10269
finetune,4,26,10523,0.805970,0.767568,0.844687,0.814815,13015,12266
finetune,4,31,10843,0.807327,0.797297,0.817439,0.812698,15323,14246
finetune,4,36,11163,0.812754,0.824324,0.801090,0.815873,17515,16146
finetune,4,41,11483,0.804613,0.821622,0.787466,0.813757,19327,17950
finetune,4,47,11812,0.810041,0.816216,0.803815,0.819048,21621,20200
finetune,5,1,11876,0.811398,0.818919,0.803815,0.819048,428,434
finetune,5,6,12196,0.801900,0.827027,0.776567,0.816931,2527,2492
finetune,5,11,12516,0.796472,0.837838,0.754768,0.814815,4561,4430
finetune,5,16,12836,0.788331,0.835135,0.741144,0.812698,6339,6283
finetune,5,21,13156,0.803256,0.818919,0.787466,0.808466,8237,8308
finetune,5,26,13476,0.800543,0.791892,0.809264,0.805291,9932,10257
finetune,5,31,13796,0.804613,0.781081,0.828338,0.810582,11449,11990
finetune,5,36,14116,0.805970,0.781081,0.831063,0.806349,12921,13578
finetune,5,41,14436,0.807327,0.786486,0.828338,0.806349,14281,15062
finetune,5,47,14765,0.805970,0.797297,0.814714,0.811640,16189,17084
finetune,6,1,14829,0.811398,0.808108,0.814714,0.812698,457,363
finetune,6,6,15149,0.800543,0.837838,0.762943,0.828571,2620,2410
finetune,6,11,15469,0.782904,0.856757,0.708447,0.817989,4319,4228
finetune,6,16,15789,0.786974,0.891892,0.681199,0.806349,5943,5761
finetune,6,21,16109,0.791045,0.897297,0.683924,0.807407,7349,7276
finetune,6,26,16429,0.805970,0.862162,0.749319,0.807407,9194,9030
finetune,6,31,16749,0.812754,0.810811,0.814714,0.812698,11139,10933
finetune,6,36,17069,0.812754,0.764865,0.861035,0.817989,12850,12819
finetune,6,41,17389,0.800543,0.708108,0.893733,0.812698,14523,14538
finetune,6,47,17718,0.776119,0.664865,0.888283,0.805291,16220,16300
finetune,7,1,17782,0.781547,0.681081,0.882834,0.805291,285,316
finetune,7,6,18102,0.799186,0.759459,0.839237,0.813757,2106,2315
finetune,7,11,18422,0.789688,0.840541,0.738420,0.821164,4465,4665
finetune,7,16,18742,0.772049,0.921622,0.621253,0.787302,6809,6939
finetune,7,21,19062,0.767978,0.929730,0.604905,0.775661,8355,8390
finetune,7,26,19382,0.777476,0.916216,0.637602,0.794709,9871,9735
finetune,7,31,19702,0.785617,0.878378,0.692098,0.803175,11948,11533
finetune,7,36,20022,0.799186,0.827027,0.771117,0.809524,14255,13697
finetune,7,41,20342,0.800543,0.786486,0.814714,0.821164,16188,15622
finetune,7,47,20671,0.800543,0.705405,0.896458,0.809524,18393,17789
finetune,8,1,20735,0.796472,0.697297,0.896458,0.811640,364,365
finetune,8,6,21055,0.791045,0.681081,0.901907,0.814815,1856,1915
finetune,8,11,21375,0.789688,0.697297,0.882834,0.813757,3339,3365
finetune,8,16,21695,0.801900,0.737838,0.866485,0.817989,4884,4773
finetune,8,21,22015,0.796472,0.791892,0.801090,0.819048,6691,6409
finetune,8,26,22335,0.789688,0.837838,0.741144,0.826455,8395,7980
finetune,8,31,22655,0.776119,0.870270,0.681199,0.820106,9966,9391
finetune,8,36,22975,0.784261,0.889189,0.678474,0.812698,11213,10510
finetune,8,41,23295,0.788331,0.883784,0.692098,0.812698,12357,11708
finetune,8,47,23624,0.796472,0.883784,0.708447,0.811640,13678,13076
finetune,9,1,23688,0.792402,0.878378,0.705722,0.809524,218,209
finetune,9,6,24008,0.795115,0.867568,0.722071,0.808466,1205,1305
finetune,9,11,24328,0.800543,0.851351,0.749319,0.812698,2283,2412
finetune,9,16,24648,0.801900,0.837838,0.765668,0.815873,3423,3691
finetune,9,21,24968,0.796472,0.816216,0.776567,0.815873,4271,4625
finetune,9,26,25288,0.800543,0.816216,0.784741,0.819048,5105,5409
finetune,9,31,25608,0.801900,0.808108,0.795640,0.817989,6044,6406
