Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
finetune,0,0,0,0.756359,0.891247,0.618919,0.706667
finetune,1,1,64,0.756359,0.891247,0.618919,0.706667,0,0
finetune,1,6,384,0.756359,0.891247,0.618919,0.706667,0,0
finetune,1,11,704,0.756359,0.891247,0.618919,0.706667,0,0
finetune,1,16,1024,0.772423,0.885942,0.656757,0.723333,693,479
finetune,1,21,1344,0.768407,0.663130,0.875676,0.734444,10161,14473
finetune,1,26,1664,0.777778,0.721485,0.835135,0.746667,17950,24782
finetune,1,31,1984,0.780455,0.806366,0.754054,0.742222,24166,32295
finetune,1,36,2304,0.775100,0.843501,0.705405,0.734444,29263,37806
finetune,1,41,2624,0.787149,0.809019,0.764865,0.738889,33946,42849
finetune,1,47,2988,0.789826,0.769231,0.810811,0.752222,39306,48841
finetune,2,1,3052,0.793842,0.782493,0.805405,0.745556,869,907
finetune,2,6,3372,0.789826,0.822281,0.756757,0.737778,5117,5406
finetune,2,11,3692,0.788487,0.827586,0.748649,0.745556,9168,9992
finetune,2,16,4012,0.787149,0.806366,0.767568,0.744444,12656,13803
finetune,2,21,4332,0.788487,0.782493,0.794595,0.746667,16278,17494
finetune,2,26,4652,0.797858,0.798408,0.797297,0.738889,19709,20585
finetune,2,31,4972,0.807229,0.793103,0.821622,0.738889,22520,23186
finetune,2,36,5292,0.804552,0.787798,0.821622,0.750000,25379,25771
finetune,2,41,5612,0.796519,0.816976,0.775676,0.745556,28540,28747
finetune,2,47,5976,0.792503,0.835544,0.748649,0.741111,32101,32049
finetune,3,1,6040,0.799197,0.835544,0.762162,0.740000,516,494
finetune,3,6,6360,0.796519,0.824934,0.767568,0.744444,2817,2742
finetune,3,11,6680,0.793842,0.814324,0.772973,0.751111,5633,5384
finetune,3,16,7000,0.797858,0.819629,0.775676,0.751111,8174,7955
finetune,3,21,7320,0.796519,0.793103,0.800000,0.744444,10537,10588
finetune,3,26,7640,0.800535,0.795756,0.805405,0.744444,12732,12970
finetune,3,31,7960,0.803213,0.769231,0.837838,0.746667,15235,15538
finetune,3,36,8280,0.799197,0.740053,0.859459,0.745556,17417,17901
finetune,3,41,8600,0.799197,0.753316,0.845946,0.741111,19491,20053
finetune,3,47,8964,0.799197,0.798408,0.800000,0.746667,22310,22894
finetune,4,1,9028,0.799197,0.814324,0.783784,0.748889,491,505
finetune,4,6,9348,0.787149,0.835544,0.737838,0.740000,3177,2957
finetune,4,11,9668,0.797858,0.835544,0.759459,0.743333,5419,5412
finetune,4,16,9988,0.799197,0.811671,0.786486,0.742222,7527,7651
finetune,4,21,10308,0.803213,0.771883,0.835135,0.738889,9621,9879
finetune,4,26,10628,0.804552,0.763926,0.845946,0.751111,11566,12105
finetune,4,31,10948,0.800535,0.777188,0.824324,0.755556,13612,14292
finetune,4,36,11268,0.799197,0.806366,0.791892,0.743333,15369,16304
finetune,4,41,11588,0.797858,0.824934,0.770270,0.748889,16930,18147
finetune,4,47,11952,0.803213,0.848806,0.756757,0.748889,19130,20463
finetune,5,1,12016,0.799197,0.843501,0.754054,0.741111,359,344
finetune,5,6,12336,0.793842,0.806366,0.781081,0.750000,2271,2186
finetune,5,11,12656,0.793842,0.803714,0.783784,0.752222,4142,4037
finetune,5,16,12976,0.797858,0.811671,0.783784,0.750000,5937,5918
finetune,5,21,13296,0.795181,0.787798,0.802703,0.750000,7738,7650
finetune,5,26,13616,0.796519,0.779841,0.813514,0.751111,9464,9352
finetune,5,31,13936,0.797858,0.771883,0.824324,0.746667,10929,11090
finetune,5,36,14256,0.803213,0.758621,0.848649,0.755556,12526,12891
