Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
finetune,0,0,0,0.755020,0.578249,0.935135,0.762222
finetune,1,1,64,0.755020,0.578249,0.935135,0.762222,0,0
finetune,1,6,384,0.755020,0.578249,0.935135,0.762222,0,0
finetune,1,11,704,0.755020,0.578249,0.935135,0.762222,0,0
finetune,1,16,1024,0.757697,0.620690,0.897297,0.764444,717,235
finetune,1,21,1344,0.753681,0.891247,0.613514,0.752222,8359,8663
finetune,1,26,1664,0.769746,0.803714,0.735135,0.757778,15147,17664
finetune,1,31,1984,0.759036,0.700265,0.818919,0.740000,21065,25087
finetune,1,36,2304,0.771084,0.718833,0.824324,0.755556,25913,30336
finetune,1,41,2624,0.787149,0.755968,0.818919,0.773333,30731,35258
finetune,1,47,2988,0.777778,0.787798,0.767568,0.787778,36886,41383
finetune,2,1,3052,0.771084,0.793103,0.748649,0.780000,1101,1047
finetune,2,6,3372,0.772423,0.793103,0.751351,0.785556,6623,6119
finetune,2,11,3692,0.783133,0.740053,0.827027,0.782222,11775,11185
finetune,2,16,4012,0.773762,0.692308,0.856757,0.783333,16537,15797
finetune,2,21,4332,0.784471,0.745358,0.824324,0.782222,20575,20050
finetune,2,26,4652,0.797858,0.793103,0.802703,0.788889,24130,23719
finetune,2,31,4972,0.793842,0.771883,0.816216,0.786667,27375,26879
finetune,2,36,5292,0.789826,0.748011,0.832432,0.792222,30558,29922
finetune,2,41,5612,0.789826,0.755968,0.824324,0.790000,33820,32829
finetune,2,47,5976,0.788487,0.734748,0.843243,0.784444,37520,36356
finetune,3,1,6040,0.789826,0.729443,0.851351,0.777778,579,586
finetune,3,6,6360,0.785810,0.692308,0.881081,0.782222,3661,3429
finetune,3,11,6680,0.801874,0.742706,0.862162,0.784444,6687,6393
finetune,3,16,7000,0.788487,0.793103,0.783784,0.796667,9374,9144
finetune,3,21,7320,0.793842,0.819629,0.767568,0.796667,11876,11500
finetune,3,26,7640,0.800535,0.827586,0.772973,0.792222,14069,13824
finetune,3,31,7960,0.787149,0.777188,0.797297,0.797778,16609,16332
