Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.706620,0.503392,1.000000,0.000000,0.506878,0.00010000
pretrain,2,0.696474,0.503392,1.000000,0.000000,0.506878,0.00009945
pretrain,3,0.691956,0.503392,1.000000,0.000000,0.506878,0.00009780
pretrain,4,0.685023,0.526459,0.991914,0.054645,0.532275,0.00009510
pretrain,5,0.641038,0.746269,0.840970,0.650273,0.754497,0.00009141
pretrain,6,0.543641,0.805970,0.789757,0.822404,0.785185,0.00008682
pretrain,7,0.497227,0.796472,0.781671,0.811475,0.797884,0.00008145
pretrain,8,0.453394,0.782904,0.757412,0.808743,0.806349,0.00007543
pretrain,9,0.443297,0.788331,0.754717,0.822404,0.809524,0.00006891
pretrain,10,0.427557,0.803256,0.787062,0.819672,0.806349,0.00006204
pretrain,11,0.432162,0.784261,0.768194,0.800546,0.811640,0.00005500
pretrain,12,0.405836,0.793758,0.789757,0.797814,0.810582,0.00004796
pretrain,13,0.405493,0.792402,0.803235,0.781421,0.807407,0.00004109
pretrain,14,0.401642,0.789688,0.781671,0.797814,0.808466,0.00003457
pretrain,15,0.389935,0.797829,0.805930,0.789617,0.805291,0.00002855
pretrain,16,0.391297,0.795115,0.800539,0.789617,0.805291,0.00002318
pretrain,17,0.388674,0.788331,0.781671,0.795082,0.807407,0.00001859
pretrain,18,0.389036,0.784261,0.778976,0.789617,0.806349,0.00001490
pretrain,19,0.393629,0.791045,0.789757,0.792350,0.807407,0.00001220
pretrain,20,0.389161,0.791045,0.789757,0.792350,0.807407,0.00001055
